*** Bundlelist:
Status: 195 bundles in total - all 195 bundles active.

bcpkix (1.60) "bcpkix" [active, 188] 
org.apache.jackrabbit.jackrabbit-data (2.16.3) "Jackrabbit Data" [active, 57] 
org.apache.jackrabbit.jackrabbit-jcr-commons (2.16.3) "Jackrabbit JCR Commons" [active, 58] 
org.apache.jackrabbit.jackrabbit-jcr-rmi (2.16.3) "Jackrabbit JCR-RMI" [active, 59] 
org.apache.jackrabbit.jackrabbit-spi-commons (2.16.3) "Jackrabbit SPI Commons" [active, 61] 
org.apache.jackrabbit.jackrabbit-spi (2.16.3) "Jackrabbit SPI" [active, 60] 
org.apache.jackrabbit.jackrabbit-webdav (2.16.3) "Jackrabbit WebDAV Library" [active, 62] 
org.apache.jackrabbit.oak-api (1.8.8) "Oak API" [active, 64] 
org.apache.jackrabbit.oak-blob-plugins (1.8.8) "Oak Blob Plugins" [active, 66] 
org.apache.jackrabbit.oak-blob (1.8.8) "Oak Blob Store" [active, 65] 
org.apache.jackrabbit.oak-commons (1.8.8) "Oak Commons" [active, 67] 
org.apache.jackrabbit.oak-core-spi (1.8.8) "Oak Core SPI" [active, 69] 
org.apache.jackrabbit.oak-core (1.8.8) "Oak Core" [active, 68] 
org.apache.jackrabbit.oak-jcr (1.8.8) "Oak JCR Binding" [active, 70] 
org.apache.jackrabbit.oak-lucene (1.8.8) "Oak Lucene" [active, 71] 
org.apache.jackrabbit.oak-query-spi (1.8.8) "Oak Query SPI" [active, 72] 
org.apache.jackrabbit.oak-security-spi (1.8.8) "Oak Security SPI" [active, 73] 
org.apache.jackrabbit.oak-segment-tar (1.8.8) "Oak Segment Tar" [active, 54] 
org.apache.jackrabbit.oak-store-composite (1.8.8) "Oak Composite Store" [active, 74] 
org.apache.jackrabbit.oak-store-document (1.8.8) "Oak DocumentNodeStore" [active, 75] 
org.apache.jackrabbit.oak-store-spi (1.8.8) "Oak NodeStore and Commit SPI" [active, 76] 
org.apache.jackrabbit.vault (3.2.4) "Apache Jackrabbit FileVault Core Bundle" [active, 94] 
org.apache.pdfbox.fontbox (2.0.12) "Apache FontBox" [active, 45] 
