*** Bundlelist:
Status: 195 bundles in total - all 195 bundles active.

bcpkix (1.60) "bcpkix" [active, 188] 
    Start Level: 20
    Exported Packages: 
        org.apache.sling.scripting.core,version=2.1.0
        org.apache.sling.scripting.core.servlet,version=1.0.0
    Imported Packages: 
        javax.annotation,version=1.3.0 from org.apache.geronimo.specs.geronimo-annotation_1.3_spec (1)
        javax.script,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        javax.servlet,version=2.6.0 from org.apache.felix.http.servlet-api (29)
        javax.servlet,version=3.1.0 from org.apache.felix.http.servlet-api (29)
        javax.servlet,version=3.0.0 from org.apache.felix.http.servlet-api (29)
        javax.servlet.http,version=2.6.0 from org.apache.felix.http.servlet-api (29)
        javax.servlet.http,version=3.1.0 from org.apache.felix.http.servlet-api (29)
        javax.servlet.http,version=3.0.0 from org.apache.felix.http.servlet-api (29)
        org.apache.commons.io,version=1.4.9999 from org.apache.commons.io (23)
        org.apache.commons.io,version=2.6.0 from org.apache.commons.io (23)
        org.apache.felix.webconsole,version=3.3.0 from org.apache.felix.webconsole (32)
        org.apache.sling.api,version=2.3.3 from org.apache.sling.api (112)
        org.apache.sling.api.adapter,version=2.2.3 from org.apache.sling.api (112)
        org.apache.sling.api.request,version=2.4.3 from org.apache.sling.api (112)
        org.apache.sling.api.resource,version=2.11.1 from org.apache.sling.api (112)
        org.apache.sling.api.resource.observation,version=1.2.1 from org.apache.sling.api (112)
        org.apache.sling.api.scripting,version=2.3.2 from org.apache.sling.api (112)
        org.apache.sling.api.servlets,version=2.2.1 from org.apache.sling.api (112)
        org.apache.sling.api.wrappers,version=2.6.2 from org.apache.sling.api (112)
        org.apache.sling.commons.mime,version=2.2.0 from org.apache.sling.commons.mime (122)
        org.apache.sling.commons.threads,version=3.4.0 from org.apache.sling.commons.threads (125)
        org.apache.sling.scripting.api,version=2.3.0 from org.apache.sling.scripting.api (152)
        org.apache.sling.scripting.api.resource,version=1.0.0 from org.apache.sling.scripting.api (152)
        org.apache.sling.serviceusermapping,version=1.4.0 from org.apache.sling.serviceusermapper (166)
        org.osgi.framework,version=1.9.0 from org.apache.felix.framework (0)
        org.osgi.framework.wiring,version=1.2.0 from org.apache.felix.framework (0)
        org.osgi.service.component,version=1.4.0 from org.apache.felix.scr (50)
        org.osgi.service.event,version=1.4.0 from org.apache.felix.eventadmin (7)
        org.osgi.util.tracker,version=1.5.2 from org.apache.felix.framework (0)
        org.slf4j,version=1.7.25 from slf4j.api (9)
    Importing Bundles: 
        org.apache.sling.models.impl (146)
        org.apache.sling.scripting.javascript (155)
        org.apache.sling.scripting.sightly (159)
        org.apache.sling.scripting.sightly.js.provider (162)
    Service ID 406: 
        Types: org.osgi.service.cm.ManagedService
    Service ID 407: 
        Types: javax.script.ScriptEngineManager, org.apache.sling.scripting.core.impl.jsr223.SlingScriptEngineManager
        Component Name: org.apache.sling.scripting.core.impl.jsr223.SlingScriptEngineManager
        Component ID: 272
    Service ID 408: 
        Types: org.apache.sling.scripting.api.BindingsValuesProvidersByContext
        Component Name: org.apache.sling.scripting.core.impl.BindingsValuesProvidersByContextImpl
        Component ID: 264
        Vendor: The Apache Software Foundation
    Service ID 414: 
        Types: javax.servlet.Servlet
        Component Name: org.apache.sling.scripting.core.impl.ScriptEngineConsolePlugin
        Component ID: 267
        Description: Web Console Plugin for ScriptEngine implementations
        Vendor: The Apache Software Foundation
    Service ID 415: 
        Types: javax.servlet.Servlet
        Component Name: org.apache.sling.scripting.core.impl.ScriptingVariablesConsolePlugin
        Component ID: 269
        Vendor: The Apache Software Foundation
    Service ID 416: 
        Types: javax.servlet.Servlet
        Component Name: org.apache.sling.scripting.core.impl.SlingBindingsVariablesListJsonServlet
        Component ID: 270
        Vendor: The Apache Software Foundation
    Service ID 649: 
        Types: org.apache.sling.scripting.api.resource.ScriptingResourceResolverProvider, javax.servlet.ServletRequestListener
        Component Name: org.apache.sling.scripting.core.impl.ScriptingResourceResolverProviderImpl
        Component ID: 268
        Description: Apache Sling Scripting Resource Resolver Provider
        Vendor: The Apache Software Foundation
    Service ID 1079: 
        Types: org.apache.sling.spi.resource.provider.ResourceProvider
        Description: ServletResourceProvider for Servlets at [/apps/sling/servlet/default/SLING_availablebindings.json.GET.servlet]
    Service ID 1155: 
        Types: org.apache.sling.scripting.api.ScriptCache, org.osgi.service.event.EventHandler
        Service PID: org.apache.sling.scripting.core.impl.ScriptCacheImpl
        Component Name: org.apache.sling.scripting.core.impl.ScriptCacheImpl
        Component ID: 266
        Vendor: The Apache Software Foundation
    Service ID 1156: 
        Types: javax.servlet.Servlet
        Component Name: org.apache.sling.scripting.core.impl.ScriptCacheConsolePlugin
        Component ID: 265
        Description: Script Cache
        Vendor: The Apache Software Foundation
    Service ID 1157: 
        Types: org.apache.sling.api.adapter.AdapterFactory, org.apache.sling.commons.mime.MimeTypeProvider
        Component Name: org.apache.sling.scripting.core.impl.SlingScriptAdapterFactory
        Component ID: 271
        Description: Default SlingScriptResolver
        Vendor: The Apache Software Foundation
    Service ID 2112: 
        Types: org.apache.sling.api.resource.observation.ResourceChangeListener
    Manifest Headers: 
        Bnd-LastModified: 1513271437344
        Build-Jdk: 1.8.0_151
        Built-By: robert
        Bundle-Category: sling
        Bundle-Description: Sling Scripting core functionality
        Bundle-DocURL: http://sling.apache.org
        Bundle-License: https://www.apache.org/licenses/LICENSE-2.0.txt
        Bundle-ManifestVersion: 2
        Bundle-Name: Apache Sling Scripting Core implementation
        Bundle-RequiredExecutionEnvironment: JavaSE-1.7
        Bundle-SymbolicName: org.apache.sling.scripting.core
        Bundle-Vendor: The Apache Software Foundation
        Bundle-Version: 2.0.54
        Conditional-Package: org.apache.felix.utils.json.*
        Created-By: Apache Maven Bundle Plugin
        Embed-Dependency: org.apache.sling.commons.osgi; inline="org/apache/sling/commons/osgi/PropertiesUtil.*"
        Export-Package: org.apache.sling.scripting.core.servlet; version="1.0.0"; uses:="javax.servlet, javax.servlet.http", org.apache.sling.scripting.core; version="2.1.0"; uses:="org.apache.sling.api, org.apache.sling.api.request, org.apache.sling.api.resource, org.apache.sling.api.scripting, org.apache.sling.scripting.api, org.osgi.framework"
        Import-Package: javax.annotation, javax.script; version="[0.0, 1)", javax.servlet; version="[3.1, 4)", javax.servlet.http; version="[3.1, 4)", org.apache.commons.io; version="[1.4, 2)", org.apache.felix.webconsole; version="[3.1, 4)", org.apache.sling.api; version="[2.3, 3)", org.apache.sling.api.adapter; version="[2.2, 3)", org.apache.sling.api.request; version="[2.4, 3)", org.apache.sling.api.resource; version="[2.10, 3)", org.apache.sling.api.resource.observation; version="[1.2, 2)", org.apache.sling.api.scripting; version="[2.3, 2.4)", org.apache.sling.api.servlets; version="[2.2, 3)", org.apache.sling.api.wrappers; version="[2.6, 3)", org.apache.sling.commons.mime; version="[2.0, 3)", org.apache.sling.commons.threads; version="[3.1, 4)", org.apache.sling.scripting.api; version="[2.3, 3)", org.apache.sling.scripting.api.resource; version="[1.0, 1.1)", org.apache.sling.serviceusermapping; version="[1.2, 2)", org.osgi.framework; version="[1.8, 2)", org.osgi.framework.wiring; version="[1.2, 2)", org.osgi.service.component; version="[1.1, 2)", org.osgi.service.event; version="[1.2, 2)", org.osgi.util.tracker; version="[1.5, 2)", org.slf4j; version="[1.7, 2)"
        Manifest-Version: 1.0
        Provide-Capability: osgi.service; objectClass:List<String>="javax.script.ScriptEngineManager, org.apache.sling.scripting.core.impl.jsr223.SlingScriptEngineManager", osgi.service; objectClass:List<String>="javax.servlet.Servlet", osgi.service; objectClass:List<String>="javax.servlet.ServletRequestListener, org.apache.sling.scripting.api.resource.ScriptingResourceResolverProvider", osgi.service; objectClass:List<String>="org.apache.sling.api.adapter.AdapterFactory, org.apache.sling.commons.mime.MimeTypeProvider", osgi.service; objectClass:List<String>="org.apache.sling.scripting.api.BindingsValuesProvidersByContext", osgi.service; objectClass:List<String>="org.apache.sling.scripting.api.ScriptCache, org.osgi.service.event.EventHandler"
        Require-Capability: osgi.extender; filter:="(&(osgi.extender=osgi.component)(version>=1.3.0)(!(version>=2.0.0)))", osgi.service; filter:="(objectClass=javax.script.ScriptEngineFactory)"; effective:=active; resolution:=optional; cardinality:=multiple, osgi.service; filter:="(objectClass=javax.script.ScriptEngineManager)"; effective:=active, osgi.service; filter:="(objectClass=org.apache.sling.api.resource.ResourceResolverFactory)"; effective:=active, osgi.service; filter:="(objectClass=org.apache.sling.commons.threads.ThreadPoolManager)"; effective:=active, osgi.service; filter:="(objectClass=org.apache.sling.scripting.api.BindingsValuesProvidersByContext)"; effective:=active, osgi.service; filter:="(objectClass=org.apache.sling.scripting.api.ScriptCache)"; effective:=active, osgi.service; filter:="(objectClass=org.apache.sling.scripting.core.impl.jsr223.SlingScriptEngineManager)"; effective:=active, osgi.service; filter:="(objectClass=org.apache.sling.serviceusermapping.ServiceUserMapped)"; effective:=active, osgi.service; filter:="(objectClass=org.osgi.service.event.EventAdmin)"; effective:=active; resolution:=optional, osgi.ee; filter:="(&(osgi.ee=JavaSE)(version=1.7))"
        Service-Component: OSGI-INF/org.apache.sling.scripting.core.impl.BindingsValuesProvidersByContextImpl.xml, OSGI-INF/org.apache.sling.scripting.core.impl.ScriptCacheConsolePlugin.xml, OSGI-INF/org.apache.sling.scripting.core.impl.ScriptCacheImpl.xml, OSGI-INF/org.apache.sling.scripting.core.impl.ScriptEngineConsolePlugin.xml, OSGI-INF/org.apache.sling.scripting.core.impl.ScriptingResourceResolverProviderImpl.xml, OSGI-INF/org.apache.sling.scripting.core.impl.ScriptingVariablesConsolePlugin.xml, OSGI-INF/org.apache.sling.scripting.core.impl.SlingBindingsVariablesListJsonServlet.xml, OSGI-INF/org.apache.sling.scripting.core.impl.SlingScriptAdapterFactory.xml, OSGI-INF/org.apache.sling.scripting.core.impl.jsr223.SlingScriptEngineManager.xml
        Tool: Bnd-3.3.0.201609221906
    Used Services: 
        Service #19 of type(s) [org.osgi.service.log.LogService]
        Service #22 of type(s) [org.osgi.service.cm.ConfigurationAdmin]
        Service #11 of type(s) [org.osgi.service.event.EventAdmin]
        Service #407 of type(s) [javax.script.ScriptEngineManager, org.apache.sling.scripting.core.impl.jsr223.SlingScriptEngineManager]
        Service #382 of type(s) [org.apache.sling.scripting.api.BindingsValuesProvider]
        Service #362 of type(s) [org.apache.sling.scripting.api.BindingsValuesProvider]
        Service #294 of type(s) [org.apache.sling.scripting.api.BindingsValuesProvider]
        Service #425 of type(s) [org.apache.sling.scripting.api.BindingsValuesProvider]
        Service #614 of type(s) [org.apache.sling.api.resource.ResourceResolverFactory]
        Service #42 of type(s) [org.osgi.service.http.context.ServletContextHelper]
        Service #333 of type(s) [org.osgi.service.http.context.ServletContextHelper]
        Service #635 of type(s) [org.osgi.service.http.context.ServletContextHelper]
        Service #408 of type(s) [org.apache.sling.scripting.api.BindingsValuesProvidersByContext]
        Service #320 of type(s) [org.apache.sling.commons.threads.ThreadPoolManager, org.osgi.service.cm.ManagedServiceFactory]
        Service #547 of type(s) [org.apache.sling.jcr.api.SlingRepository, javax.jcr.Repository]
        Service #1.155 of type(s) [org.apache.sling.scripting.api.ScriptCache, org.osgi.service.event.EventHandler]
        Service #1.154 of type(s) [org.apache.sling.serviceusermapping.ServiceUserMapped]
        Service #1.018 of type(s) [org.apache.sling.api.servlets.ServletResolver, org.apache.sling.api.scripting.SlingScriptResolver, org.apache.sling.engine.servlets.ErrorHandler, org.apache.sling.api.request.SlingRequestListener]
        Service #1.921 of type(s) [javax.script.ScriptEngineFactory]
        Service #1.926 of type(s) [javax.script.ScriptEngineFactory, org.apache.sling.api.resource.observation.ResourceChangeListener, org.apache.sling.commons.classloader.ClassLoaderWriterListener]
        Service #1.967 of type(s) [javax.script.ScriptEngineFactory]
        Service #3.060 of type(s) [org.apache.sling.scripting.api.BindingsValuesProvider]
        Service #2.407 of type(s) [com.composum.sling.clientlibs.service.ClientlibService]
        Service #1.919 of type(s) [org.apache.sling.commons.classloader.DynamicClassLoaderManager]
    Declarative Service Components: 
        Component #264 org.apache.sling.scripting.core.impl.BindingsValuesProvidersByContextImpl, state active
        Component #265 org.apache.sling.scripting.core.impl.ScriptCacheConsolePlugin, state satisfied
        Component #266 org.apache.sling.scripting.core.impl.ScriptCacheImpl, state active
        Component #267 org.apache.sling.scripting.core.impl.ScriptEngineConsolePlugin, state active
        Component #268 org.apache.sling.scripting.core.impl.ScriptingResourceResolverProviderImpl, state active
        Component #269 org.apache.sling.scripting.core.impl.ScriptingVariablesConsolePlugin, state satisfied
        Component #270 org.apache.sling.scripting.core.impl.SlingBindingsVariablesListJsonServlet, state active
        Component #271 org.apache.sling.scripting.core.impl.SlingScriptAdapterFactory, state active
        Component #272 org.apache.sling.scripting.core.impl.jsr223.SlingScriptEngineManager, state active

Bundle 160 - Apache Sling Scripting HTL Compiler 1.0.22.1_4_0 (state: Active)
    Symbolic Name: org.apache.sling.scripting.sightly.compiler
    Version: 1.0.22.1_4_0
    Bundle Location: launchpad:resources/install/0/org.apache.sling.scripting.sightly.compiler-1.0.22-1.4.0.jar
    Last Modification: Fri Jul 05 12:24:12 CEST 2019
    Bundle Documentation: http://sling.apache.org
    Vendor: The Apache Software Foundation
    Description: The Apache Sling Scripting HTL Compiler provides support for compiling HTML Template Language scripts into an Abstract        Syntax Tree.
    Start Level: 20
    Bundle Classpath: .,antlr4-runtime-4.1.jar,org.abego.treelayout.core-1.0.1.jar
    Exported Packages: 
        org.apache.sling.scripting.sightly.compiler,version=1.0.1
        org.apache.sling.scripting.sightly.compiler.backend,version=1.0.0
        org.apache.sling.scripting.sightly.compiler.commands,version=1.1.0
        org.apache.sling.scripting.sightly.compiler.expression,version=1.0.0
        org.apache.sling.scripting.sightly.compiler.expression.nodes,version=1.1.0
        org.apache.sling.scripting.sightly.compiler.util,version=1.1.0
    Imported Packages: 
        javax.imageio,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        javax.print,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        javax.print.attribute,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        javax.swing,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        javax.swing.border,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        javax.swing.event,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        javax.swing.filechooser,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        javax.swing.tree,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        org.apache.commons.io,version=1.4.9999 from org.apache.commons.io (23)
        org.apache.commons.io,version=2.6.0 from org.apache.commons.io (23)
        org.apache.commons.lang3,version=3.8.1 from org.apache.commons.lang3 (100)
        org.apache.commons.lang3.math,version=3.8.1 from org.apache.commons.lang3 (100)
        org.slf4j,version=1.7.25 from slf4j.api (9)
    Importing Bundles: 
        org.apache.sling.scripting.sightly (159)
        org.apache.sling.scripting.sightly.compiler.java (161)
    Service ID 435: 
        Types: org.apache.sling.scripting.sightly.compiler.SightlyCompiler
        Component Name: org.apache.sling.scripting.sightly.compiler.SightlyCompiler
        Component ID: 293
    Manifest Headers: 
        Bnd-LastModified: 1529487998517
        Build-Jdk: 1.8.0_152
        Built-By: radu
        Bundle-Category: sling
        Bundle-ClassPath: ., antlr4-runtime-4.1.jar, org.abego.treelayout.core-1.0.1.jar
        Bundle-Description: The Apache Sling Scripting HTL Compiler provides support for compiling HTML Template Language scripts into an Abstract        Syntax Tree.
        Bundle-DocURL: http://sling.apache.org
        Bundle-License: https://www.apache.org/licenses/LICENSE-2.0.txt
        Bundle-ManifestVersion: 2
        Bundle-Name: Apache Sling Scripting HTL Compiler
        Bundle-RequiredExecutionEnvironment: JavaSE-1.7
        Bundle-SymbolicName: org.apache.sling.scripting.sightly.compiler
        Bundle-Vendor: The Apache Software Foundation
        Bundle-Version: 1.0.22.1_4_0
        Created-By: Apache Maven Bundle Plugin
        Embed-Dependency: antlr4-runtime, org.abego.treelayout.core
        Embedded-Artifacts: antlr4-runtime-4.1.jar; g="org.antlr"; a="antlr4-runtime"; v="4.1", org.abego.treelayout.core-1.0.1.jar; g="org.abego.treelayout"; a="org.abego.treelayout.core"; v="1.0.1"
        Export-Package: org.apache.sling.scripting.sightly.compiler.util; version="1.1.0", org.apache.sling.scripting.sightly.compiler; version="1.0.1"; uses:="org.apache.sling.scripting.sightly.compiler.backend, org.apache.sling.scripting.sightly.compiler.commands", org.apache.sling.scripting.sightly.compiler.backend; version="1.0.0"; uses:="org.apache.sling.scripting.sightly.compiler.commands", org.apache.sling.scripting.sightly.compiler.commands; version="1.1.0"; uses:="org.apache.sling.scripting.sightly.compiler.expression", org.apache.sling.scripting.sightly.compiler.expression; version="1.0.0"; uses:="org.apache.sling.scripting.sightly.compiler.expression.nodes", org.apache.sling.scripting.sightly.compiler.expression.nodes; version="1.1.0"; uses:="org.apache.sling.scripting.sightly.compiler.expression"
        Import-Package: javax.imageio, javax.print, javax.print.attribute, javax.swing, javax.swing.border, javax.swing.event, javax.swing.filechooser, javax.swing.tree, org.apache.commons.io; version="[1.4, 2)", org.apache.commons.lang3; version="[3.5, 4)", org.apache.commons.lang3.math; version="[3.5, 4)", org.apache.sling.scripting.sightly.compiler.backend; version="[1.0, 2)", org.apache.sling.scripting.sightly.compiler.expression; version="[1.0, 1.1)", org.apache.sling.scripting.sightly.compiler.expression.nodes; version="[1.1, 1.2)", org.apache.sling.scripting.sightly.compiler.util; version="[1.1, 2)", org.slf4j; version="[1.7, 2)"
        Manifest-Version: 1.0
        Provide-Capability: io.sightly.compiler; version:Version="1.0", io.sightly.compiler; version:Version="1.1", io.sightly.compiler; version:Version="1.2", io.sightly.compiler; version:Version="1.3", io.sightly.compiler; version:Version="1.3.1", io.sightly.compiler; version:Version="1.4", osgi.service; objectClass:List<String>="org.apache.sling.scripting.sightly.compiler.SightlyCompiler"
        Require-Capability: osgi.ee; filter:="(&(osgi.ee=JavaSE)(version=1.7))"
        Service-Component: OSGI-INF/org.apache.sling.scripting.sightly.compiler.SightlyCompiler.xml
        Tool: Bnd-3.2.0.201605172007
    Used Services: 
        Service #19 of type(s) [org.osgi.service.log.LogService]
        Service #22 of type(s) [org.osgi.service.cm.ConfigurationAdmin]
    Declarative Service Components: 
        Component #293 org.apache.sling.scripting.sightly.compiler.SightlyCompiler, state active

Bundle 159 - Apache Sling Scripting HTL Engine 1.0.56.1_4_0 (state: Active)
    Symbolic Name: org.apache.sling.scripting.sightly
    Version: 1.0.56.1_4_0
    Bundle Location: launchpad:resources/install/0/org.apache.sling.scripting.sightly-1.0.56-1.4.0.jar
    Last Modification: Fri Jul 05 12:24:12 CEST 2019
    Bundle Documentation: http://sling.apache.org
    Vendor: The Apache Software Foundation
    Description: The Apache Sling Scripting HTL Engine is a Java implementation of the HTML Template Language specification. The bundle contains the        HTL script engine and its runtime implementation.
    Start Level: 20
    Exported Packages: 
        org.apache.sling.scripting.sightly.engine,version=1.0.0
    Imported Packages: 
        javax.script,version=0.0.0.JavaSE_011 from org.apache.felix.framework (0)
        javax.servlet,version=2.6.0 from org.apache.felix.http.servlet-api (29)
        javax.servlet,version=3.1.0 from org.apache.felix.http.servlet-api (29)
        javax.servlet,version=3.0.0 from org.apache.felix.http.servlet-api (29)
        org.apache.commons.io,version=1.4.9999 from org.apache.commons.io (23)
        org.apache.commons.io,version=2.6.0 from org.apache.commons.io (23)
        org.apache.commons.lang3,version=3.8.1 from org.apache.commons.lang3 (100)
        org.apache.sling.api,version=2.3.3 from org.apache.sling.api (112)
        org.apache.sling.api.adapter,version=2.2.3 from org.apache.sling.api (112)
        org.apache.sling.api.request,version=2.4.3 from org.apache.sling.api (112)
        org.apache.sling.api.resource,version=2.11.1 from org.apache.sling.api (112)
        org.apache.sling.api.resource.observation,version=1.2.1 from org.apache.sling.api (112)
        org.apache.sling.api.scripting,version=2.3.2 from org.apache.sling.api (112)
        org.apache.sling.api.servlets,version=2.2.1 from org.apache.sling.api (112)
        org.apache.sling.api.wrappers,version=2.6.2 from org.apache.sling.api (112)
        org.apache.sling.commons.classloader,version=1.4.0 from org.apache.sling.commons.classloader (119)
        org.apache.sling.commons.compiler,version=2.1.1 from org.apache.sling.commons.compiler (120)
        org.apache.sling.commons.osgi,version=2.4.0 from org.apache.sling.commons.osgi (123)
        org.apache.sling.i18n,version=2.2.1 from org.apache.sling.i18n (138)
        org.apache.sling.scripting.api,version=2.3.0 from org.apache.sling.scripting.api (152)
        org.apache.sling.scripting.api.resource,version=1.0.0 from org.apache.sling.scripting.api (152)
        org.apache.sling.scripting.core,version=2.1.0 from org.apache.sling.scripting.core (153)
        org.apache.sling.scripting.sightly,version=2.0.0 from org.apache.sling.scripting.sightly.compiler.java (161)
        org.apache.sling.scripting.sightly.compiler,version=1.0.1 from org.apache.sling.scripting.sightly.compiler (160)
        org.apache.sling.scripting.sightly.compiler.backend,version=1.0.0 from org.apache.sling.scripting.sightly.compiler (160)
        org.apache.sling.scripting.sightly.compiler.expression,version=1.0.0 from org.apache.sling.scripting.sightly.compiler (160)
        org.apache.sling.scripting.sightly.extension,version=1.0.1 from org.apache.sling.scripting.sightly.compiler.java (161)
        org.apache.sling.scripting.sightly.java.compiler,version=1.2.0 from org.apache.sling.scripting.sightly.compiler.java (161)
        org.apache.sling.scripting.sightly.pojo,version=1.0.1 from org.apache.sling.scripting.sightly.compiler.java (161)
        org.apache.sling.scripting.sightly.render,version=2.1.0 from org.apache.sling.scripting.sightly.compiler.java (161)
        org.apache.sling.scripting.sightly.use,version=1.0.1 from org.apache.sling.scripting.sightly.compiler.java (161)
        org.apache.sling.xss,version=2.0.0 from org.apache.sling.xss (172)
        org.osgi.framework,version=1.9.0 from org.apache.felix.framework (0)
        org.slf4j,version=1.7.25 from slf4j.api (9)
    Importing Bundles: 
        org.apache.sling.scripting.sightly.js.provider (162)
    Service ID 423: 
        Types: org.apache.sling.scripting.sightly.impl.engine.ExtensionRegistryService
        Component Name: org.apache.sling.scripting.sightly.impl.engine.ExtensionRegistryService
        Component ID: 275
    Service ID 424: 
        Types: org.apache.sling.scripting.sightly.impl.engine.ResourceBackedPojoChangeMonitor, org.apache.sling.api.resource.observation.ResourceChangeListener
        Component Name: org.apache.sling.scripting.sightly.impl.engine.ResourceBackedPojoChangeMonitor
        Component ID: 276
    Service ID 425: 
        Types: org.apache.sling.scripting.api.BindingsValuesProvider
        Component Name: org.apache.sling.scripting.sightly.impl.engine.SightlyBindingsValuesProvider
        Component ID: 277
    Service ID 426: 
        Types: org.apache.sling.scripting.sightly.impl.engine.SightlyEngineConfiguration
        Component Name: org.apache.sling.scripting.sightly.impl.engine.SightlyEngineConfiguration
        Component ID: 278
    Service ID 427: 
        Types: org.apache.sling.scripting.sightly.extension.RuntimeExtension
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.FormatFilterExtension
        Component ID: 281
    Service ID 428: 
        Types: org.apache.sling.scripting.sightly.extension.RuntimeExtension
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.I18nRuntimeExtension
        Component ID: 282
    Service ID 429: 
        Types: org.apache.sling.scripting.sightly.extension.RuntimeExtension
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.IncludeRuntimeExtension
        Component ID: 283
    Service ID 430: 
        Types: org.apache.sling.scripting.sightly.extension.RuntimeExtension
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.JoinFilterExtension
        Component ID: 284
    Service ID 431: 
        Types: org.apache.sling.scripting.sightly.extension.RuntimeExtension
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.ResourceRuntimeExtension
        Component ID: 285
    Service ID 432: 
        Types: org.apache.sling.scripting.sightly.extension.RuntimeExtension
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.URIManipulationFilterExtension
        Component ID: 286
    Service ID 433: 
        Types: org.apache.sling.scripting.sightly.use.UseProvider
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.use.ResourceUseProvider
        Component ID: 290
    Service ID 434: 
        Types: org.apache.sling.scripting.sightly.extension.RuntimeExtension
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.use.UseRuntimeExtension
        Component ID: 292
    Service ID 655: 
        Types: org.apache.sling.scripting.sightly.use.UseProvider
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.use.ScriptUseProvider
        Component ID: 291
    Service ID 1134: 
        Types: org.apache.sling.scripting.sightly.extension.RuntimeExtension
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.XSSRuntimeExtension
        Component ID: 287
    Service ID 1180: 
        Types: org.apache.sling.scripting.sightly.use.UseProvider
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.use.RenderUnitProvider
        Component ID: 289
    Service ID 1966: 
        Types: org.apache.sling.scripting.sightly.impl.engine.SightlyJavaCompilerService
        Component Name: org.apache.sling.scripting.sightly.impl.engine.SightlyJavaCompilerService
        Component ID: 279
    Service ID 1967: 
        Types: javax.script.ScriptEngineFactory
        Component Name: org.apache.sling.scripting.sightly.impl.engine.SightlyScriptEngineFactory
        Component ID: 280
        Description: HTL Templating Engine
    Service ID 1985: 
        Types: org.apache.sling.scripting.sightly.use.UseProvider
        Component Name: org.apache.sling.scripting.sightly.impl.engine.extension.use.JavaUseProvider
        Component ID: 288
    Manifest Headers: 
        Bnd-LastModified: 1537783650813
        Build-Jdk: 1.8.0_181
        Built-By: radu
        Bundle-Category: sling
        Bundle-Description: The Apache Sling Scripting HTL Engine is a Java implementation of the HTML Template Language specification. The bundle contains the        HTL script engine and its runtime implementation.
        Bundle-DocURL: http://sling.apache.org
        Bundle-License: https://www.apache.org/licenses/LICENSE-2.0.txt
        Bundle-ManifestVersion: 2
        Bundle-Name: Apache Sling Scripting HTL Engine
        Bundle-RequiredExecutionEnvironment: JavaSE-1.7
        Bundle-SymbolicName: org.apache.sling.scripting.sightly
        Bundle-Vendor: The Apache Software Foundation
        Bundle-Version: 1.0.56.1_4_0
        Created-By: Apache Maven Bundle Plugin
        Export-Package: org.apache.sling.scripting.sightly.engine; version="1.0.0"; uses:="org.apache.sling.api, org.apache.sling.api.resource"
